fault_type,severity,culprit,delta,fault_alone,drift_alone,ratio,anchored_eff_gap,loo_eff_gap,model_fits,measurable,shapley_p@1,shapley_mrr,anchored_p@1,anchored_mrr,loo_p@1,loo_mrr,drift_p@1,drift_mrr,stagewise_p@1,stagewise_mrr
predicate_flip,min_txn=8,filter_active,-0.13542898795619818,-0.03161290856981924,0.05562320185102343,0.5683403241418686,2.7755575615628914e-17,0.12146403149832397,8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
predicate_flip,min_txn=10,filter_active,-0.1683641745219201,-0.032114319478267594,0.05562320185102343,0.5773547442356864,0.0,0.2461281469332759,8,True,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
null_spike_mnar,20%,clean_customers,-2.5677981544847128e-05,-0.00030785967121127467,0.05562320185102343,0.0055347348042966045,2.710505431213761e-20,0.0977450314486249,8,False,0.0,0.5,0.0,0.14285714285714285,0.0,0.2,1.0,1.0,0.0,0.5
null_spike_mnar,40%,clean_customers,0.0004365256862649547,-0.0010185599346177465,0.05562320185102343,0.018311781787495315,1.0842021724855044e-19,0.10256034325663088,8,False,0.0,0.5,0.0,0.14285714285714285,0.0,0.2,1.0,1.0,0.0,0.5
null_spike_mnar,60%,clean_customers,0.00027859229439675115,-0.0012237076796491886,0.05562320185102343,0.021999950361122067,0.0,0.10489400239661162,8,False,0.0,0.5,0.0,0.14285714285714285,0.0,0.2,1.0,1.0,0.0,0.5
null_spike_mnar,80%,clean_customers,-0.0016817697375323126,-0.002627989552098531,0.05562320185102343,0.04724628328906919,0.0,0.10192005036197682,8,False,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
null_spike_mnar,95%,clean_customers,-0.003652347740613626,-0.002441064890744249,0.05562320185102343,0.04388573130475651,8.673617379884035e-19,0.09991440672818341,8,True,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
null_spike_mnar,100%,clean_customers,-0.0075921232101342495,-0.010914246585932874,0.05562320185102343,0.19621751755975297,0.0,0.0967659548619737,8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
join_fanout_biased,x1,join_features,-0.0002929498754755677,-0.0011715233945739367,0.05562320185102343,0.021061775582636322,1.3552527156068805e-20,0.0966461242814306,8,False,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5
join_fanout_biased,x2,join_features,-0.0006383601433547215,-0.0020269038980832432,0.05562320185102343,0.03643989972946783,0.0,0.0965724036247374,8,False,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5
join_fanout_biased,x5,join_features,-0.0016306898817707305,-0.003670018609633785,0.05562320185102343,0.06597999553249845,0.0,0.09605194131062644,8,False,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5
join_fanout_biased,x10,join_features,-0.0032351495673397235,-0.00539265223177543,0.05562320185102343,0.09694969099798789,4.336808689942018e-19,0.09398859124518888,8,True,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5
join_fanout_biased,x20,join_features,-0.005730331494458452,-0.007265212133260257,0.05562320185102343,0.13061477749373002,8.673617379884035e-19,0.08979866253610103,8,True,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5
